title	author	genre	pages	language	country	publisher
The Still Point	amy sackville	novel	320 pp		united kingdom	portobello books ltd
The Secret of Wilhelm Storitz	jules verne	fantasy novel			france	louis-jules hetzel
Mornings in Jenin	susan abulhawa	novel	331 pp		united states	bloomsbury publishing
Plutonia (novel)	vladimir obruchev	science fiction novel			russia	
Vapor (novel)	amanda filipacchi	novel	313pp		united states	carroll  &  graf publishers
Orbus (novel)	neal asher	science fiction novel			united kingdom	
The Best Science Fiction of the Year 7	edited by  terry carr	science fiction	365 pp.		united states	del rey books
The Best Science Fiction of the Year 8	edited by  terry carr	science fiction	363 pp.		united states	del rey books
The Best Science Fiction of the Year 10	edited by  terry carr	science fiction	434 pp.		united states	pocket books
The Best Science Fiction of the Year 11	edited by  terry carr	science fiction	438 pp.		united states	pocket books
Undersea Trilogy	frederik pohl  &  jack williamson	science fiction	501 pp		united states	baen books
The Best Science Fiction of the Year 12	edited by  terry carr	science fiction	357 pp.		united states	pocket books
Tunnel in the Sky	robert a. heinlein	science fiction			united states	scribner's
The Fountains of Paradise	arthur c. clarke	science fiction	256		united kingdom	victor gollancz (uk)  harcourt brace jovanovich (us)
The Skeptical Environmentalist	bjørn lomborg	non-fiction				cambridge university press
The Dispossessed	ursula k. le guin	science fiction	341 (first edition)		united states	
The Wanderer (Leiber novel)	fritz leiber	science fiction novel	318		united states	ballantine books
2010: Odyssey Two	arthur c. clarke	science fiction	291 (first edition, hardback)		united kingdom	granada publishing ltd.
The Illustrated Man	ray bradbury	science fiction	256		united states	doubleday  &  company
The Illuminatus! Trilogy		science fiction	805 pages (paperback collected edition)		united states	dell publishing
The Great Hunt	robert jordan	fantasy	706 (u.s. paperback edition)  &  600 (u.s. hardback edition)		united states	tor books (north american) and orbit books (uk)
A Crown of Swords	robert jordan	fantasy	881 (u.s. paperback edition)  &    720 (u.s. hardback edition)		united states	
Winter's Heart	robert jordan	fantasy	781 (u.s. paperback edition)  &    668 (u.s. hardback edition)  &    640  (uk hardback edition)		united states	tor books (u.s.)  &    orbit (uk)
The Grapes of Wrath	john steinbeck	novel	464		united states	the viking press-james lloyd
The Forge of God	greg bear	science fiction	474		united states	tor books
Blood Music (novel)	greg bear	science fiction	262		united states	arbor house
The Memory of Earth	orson scott card	science fiction	294		united states	tor books
Sixth Column	robert a. heinlein	science fiction	256		united states	gnome press
The Puppet Masters	robert a. heinlein	science fiction			united states	doubleday
The Wind in the Willows	kenneth grahame	children's novel			united kingdom	methuen
The Godfather (novel)	mario puzo	crime novel			united states	g. p. putnam's sons
Beyond This Horizon	robert a. heinlein	science fiction			united states	astounding science fiction (orig. serial)  &  fantasy press (single book)
Rocket Ship Galileo	robert a. heinlein	science fiction	212		united states	scribner's
Space Cadet	robert a. heinlein	science fiction			united states	scribner's
Between Planets	robert a. heinlein	science fiction	222		united states	charles scribner's sons
Starman Jones	robert a. heinlein	science fiction			united states	scribner's
Podkayne of Mars	robert a. heinlein	science fiction			united states	g. p. putnam's sons
The Skeptic's Dictionary	robert todd carroll	non-fiction	446		united states	john wiley  &  sons
The Star Beast	robert a. heinlein	science fiction			united states	scribner's
Harry Potter and the Philosopher's Stone	j. k. rowling	fantasy			united kingdom	
Dirk Gently's Holistic Detective Agency	douglas adams	science fiction	306  (paperback edition)		england	uk: william heinemann ltd., us: pocket books
Dragonflight	anne mccaffrey	science fiction	309		united states	ballantine books
Alice's Adventures in Wonderland	lewis carroll	fiction			united kingdom	macmillan
Now Wait for Last Year	philip k. dick	science fiction	214		united states	doubleday
The Belgariad	david eddings	fantasy	258 (paperback)		united states	del rey books
The Malloreon	david eddings	fantasy	448 (paperback)		usa	del rey books
The Patchwork Girl of Oz	l. frank baum	children's novel			united states	reilly  &  britton
To Sail Beyond the Sunset	robert a. heinlein	science fiction	416  (first edition, hardback)		united states	g. p. putnam's sons
Double Star	robert a. heinlein	science fiction novel			united states	doubleday
Time for the Stars	robert a. heinlein	science fiction			united states	scribner's
Citizen of the Galaxy	robert a. heinlein	science fiction			united states	scribner's
Stranger in a Strange Land	robert a. heinlein	science fiction	408 pages  208,018 words		united states	g. p. putnam's sons
The Moon Is a Harsh Mistress	robert a. heinlein	science fiction	382 (1997 orb books softcover ed.)		united states	g. p. putnam's sons
I Will Fear No Evil	robert a. heinlein	science fiction			united states	
The Cat Who Walks Through Walls	robert a. heinlein	science fiction			united states	putnam publishing group
Methuselah's Children	robert a. heinlein	science fiction	188		united states	gnome press
Jane Eyre	charlotte brontë	novel			united kingdom	smith, elder  &  co.
Castle Rackrent	maria edgeworth	historical novel	90		ireland	j. johnson
Anne of Green Gables	lucy maud montgomery	novel			written and set in canada, published in the united states	
Consider Phlebas	iain m. banks	science fiction	471		scotland	macmillan
Inversions (novel)	iain m. banks	science fiction	345		scotland	orbit books
Ender's Game	orson scott card	science fiction	324		united states	tor books
Job: A Comedy of Justice	robert a. heinlein	science fiction novel	376		united states	ballantine books/del rey
Farmer in the Sky	robert a. heinlein	science fiction			united states	charles scribner's sons
Friday (novel)	robert a. heinlein	science fiction	368		united states	holt, rinehart and winston
Have Space Suit—Will Travel	robert a. heinlein	science fiction			united states	scribner's
—We Also Walk Dogs	robert a. heinlein	science fiction			united states	
Red Planet (novel)	robert a. heinlein	science fiction			united states	scribner's
The Number of the Beast (novel)	robert a. heinlein	science fiction			united states	fawcett
The Man Who Sold the Moon (short story collection)	robert a. heinlein	science fiction	299		united states	shasta publishers
The Green Hills of Earth (short story collection)	robert a. heinlein	science fiction	256		united states	shasta publishers
Assignment in Eternity	robert a. heinlein	science fiction			united states	fantasy press
Revolt in 2100	robert a. heinlein	science fiction	317		united states	shasta publishers
Foundation's Edge	isaac asimov	science fiction	367		united states	
Prelude to Foundation	isaac asimov	science fiction	403		united states	doubleday
Foundation and Earth	isaac asimov	science fiction	356		united states	doubleday
Time Enough for Love	robert a. heinlein	science fiction	605		united states	g.p. putnam's sons
The Rolling Stones (novel)	robert a. heinlein	science fiction			united states	charles scribner's sons
The Door into Summer	robert a. heinlein	science fiction			united states	doubleday
Farnham's Freehold	robert a. heinlein	science fiction			united states	g.p. putnam (us)
The Forsyte Saga	john galsworthy	novel				william heinemann ltd
Imitation of Life (novel)	fannie hurst	novel			united states	p.f. collier
The Last Command (novel)	timothy zahn	science fiction	hardcover: 407  paperback: 467		united states	bantam spectra
Childhood's End	arthur c. clarke	science fiction	214		united kingdom	ballantine books
The Two Towers	j. r. r. tolkien	fantasy	352 (first edition)		united kingdom	george allen  &  unwin
The Return of the King	j. r. r. tolkien	fantasy	416 (first edition)		united kingdom	george allen  &  unwin
The Eyes of the Dragon	stephen king	fantasy	326		united states	viking
Solaris (novel)	stanisław lem	science fiction	204		poland	mon, walker (us)
The Big U	neal stephenson	science fiction novel	320		united states	harper perennial
Love and Mr Lewisham	h. g. wells	novel			united kingdom	harper brothers
The Stardroppers	john brunner	science fiction			united kingdom	daw books
Watership Down	richard adams	fantasy	"413 (first edition) plus maps < !-- worldcat --      	viii, 413 p., fold. leaf. 2 maps (1 col.). 23 & nbsp;cm.   -- >   "" watership down ""  (library catalog record for a copy of the first edition). worldcat. retrieved 26 july 2012."		england	rex collings
The Player of Games	iain m. banks	science fiction	288		united kingdom	macmillan
Excession	iain m. banks	science fiction	451		scotland	orbit books
Look to Windward	iain m. banks	science fiction	357		scotland	orbit books
Use of Weapons	iain m. banks	science fiction	352		scotland	orbit
Picnic at Hanging Rock (novel)	joan lindsay	historical novel	212   (first printing)		australia	f. w. cheshire  penguin   (paperback)
A Fisherman of the Inland Sea	ursula k. le guin	science fiction	191		united states	harper prism
Feersum Endjinn	iain m. banks	science fiction	279		scotland	orbit books
Against a Dark Background	iain m. banks	science fiction	487		scotland	orbit books
The Last Temptation of Christ	nikos kazantzakis	historical novel	506  (first edition, hardback)		greece	simon  &  schuster (usa)  &  bruno cassirer (uk)
Miss Lulu Bett (novel)	zona gale	novel	264		united states  united kingdom	d. appleton and co.  new york, london
The Prisoner of Zenda	anthony hope	historical novel	310 (first edition)		united kingdom	j. w. arrowsmith
The Great Gatsby	f. scott fitzgerald	novel				
Belgarath the Sorcerer	david eddings and leigh eddings	fantasy	736 (paperback)		united states	del rey books
Tartarin of Tarascon	alphonse daudet	novel	92  (kessinger publishing paperback edition)		france	
Babel-17	samuel r. delany	science fiction	173		united states	ace books
The Languages of Pao	jack vance	science fiction	223		united states	avalon books
Orphans of the Sky	robert a. heinlein	science fiction			united states	victor gollancz ltd (uk)
Shadow Puppets	orson scott card	science fiction	384		united states	tor books
The Mystery of Banking	murray n. rothbard	non-fiction	286 pp.		united states	richardson  &  snyder
The Lost City of Z (book)	david grann	non-fiction	352		united states	doubleday
The Accidental Time Machine	joe haldeman	science fiction	275 (mass market edition)		united states	ace books
Dark Fire (The Last Dragon Chronicles)	chris d'lacey	fantasy novel	567		united kingdom	orchard books, an imprint of scholastic inc.
The Lazarus Project (novel)	aleksandar hemon	novel	304 pp		united states	riverhead books
Kirinyaga (novel)	mike resnick	science fiction	287			the ballantine publishing group, a del rey book
Nostalgia (novel)	mircea cărtărescu	novel	317		romania	cartea româneasca publishing house  humanitas
The Alchemy of Desire	tarun tejpal	novel	528 pp (first edition, hardback)		india	ecco
Galactic Odyssey	keith laumer	science fiction			united states	berkley
The Touch (McCullough novel)	colleen mccullough	historical novel	464 pp		australia	century (uk)  simon  &  schuster (us)
I'm the King of the Castle	susan hill	novel	252		england	hamish hamilton (uk)  viking (us)
Tuvalu (novel)	andrew o'connor	novel	347 pp		australia	allen and unwin, australia
Drums Along the Mohawk (novel)	walter d. edmonds	historical novel			united states	
Rome Haul	walter d. edmonds	historical novel			united states	
The Secret Scripture	sebastian barry	novel	312 pp (paperback)		ireland	faber and faber
Spindrift (novel)	allen steele	science fiction	347			penguin group
The Way of Shadows	brent weeks	fantasy	688		united states	
The Winds of Dune		science fiction	448		united states	tor books
Headlong (Ings novel)	simon ings	science fiction novel	335 pp		united kingdom	harpercollins voyager
Horizon (novel)	lois mcmaster bujold	fantasy	453 (hardback, 1st edition)		united states	eos (harpercollins)
March Upcountry	david weber  &  john ringo	science fiction	586		united states	baen books
Bad Science (book)	ben goldacre	non-fiction	338		united kingdom	fourth estate
Script and Scribble	kitty burns florey	non-fiction	190			melville house publishing
The Birthday Party (novel)	panos karnezis	novel	272 pp.		united kingdom	jonathan cape
Alphabet of Dreams	susan fletcher	fantasy			united states	atheneum books for young readers
